,station,from_node_id,to_node_id,len,longitude,latitude,from_len,to_len,node_id
0,1,3580,2763,1.2627345288605154,120.17664394330973,35.950194228533995,159.3420120910686,134.9804020057035,5059
1,2,138,139,11.592758008370822,120.1774289112012,35.9520229698024,199.46634864718158,179.64801797204723,5060
2,4,2025,1399,0.4052081994531986,120.1820420927408,35.955811028098275,8.445739904594415,292.0688629522632,5061
3,5,2025,1399,1.2277612507698925,120.18186715392136,35.958264263174684,281.68726716738234,18.82733568947532,5062
4,6,1829,1726,5.135884015082444,120.17965660834378,35.96237917841006,69.58104641616355,5.1944571790150045,5063
5,7,1826,1827,3.961097904567675,120.17591584437172,35.96097381231835,10.868477815487273,13.710966390782067,5064
6,8,2144,3586,1.5981396825880894,120.17153874810127,35.95998916903181,231.0864343107981,66.0651939234713,5065
7,9,2219,1765,1.4947928184649824,120.171006301717,35.966158681556756,281.05541454911474,16.99270624978766,5066
8,10,3412,3414,2.358638594188813,120.17107677875364,35.9704919336718,3.1732054407944696,144.62520456194406,5067
9,11,3414,2801,1.5588259583785935,120.16795769766657,35.97152780678945,158.78027674640416,66.83661195145342,5068
10,12,1743,2802,38.581587438398685,120.1697216245096,35.97775200672545,146.63744727710014,225.49965973167173,5069
11,13,2802,2803,0.6416420534999888,120.1698904586165,35.98016246484338,43.940018648919526,141.60116609445987,5070
12,14,687,2805,5.596223149416393,120.16678562371438,35.98438109986229,141.38938806900714,81.47325138740248,5071
13,15,2805,2806,1.797580002612162,120.16412464461465,35.98467639483074,160.192611376199,259.3121265714938,5072
14,16,2806,3916,1.1239118962052757,120.16165283298326,35.986717899470804,194.8234692443323,46.62710133001921,5073
15,17,3060,3086,0.41553485447880456,120.16213363329977,35.99313867740139,177.57732724097556,413.4213696727458,5074
16,18,1515,1516,0.10745652338579688,120.15893668147795,35.998626675612385,48.78482373373677,237.8222362066844,5075
17,19,1513,1514,12.799135751273164,120.15427631777584,35.99794233762356,266.37787473991267,224.1070129866156,5076
18,20,1512,1471,25.357234473851765,120.14647939424812,35.996994353552,1164.5921580026866,425.73734111190146,5077
19,21,1512,1471,41.28321875256112,120.14205876427457,35.99647631275361,762.7505994144237,827.5788997001641,5078
20,22,1512,1471,0.0746478662288916,120.13414324407472,35.99554871591142,43.21854331676239,1547.1109557978257,5079
21,23,2401,2400,0.313746312291013,120.13035624631635,36.0010066383262,151.22186130919772,457.99076022194123,5080
22,24,2401,2400,0.6628008247350277,120.12686404074941,36.00039320693128,472.6929565576694,136.5196649734695,5081
23,25,4705,3604,3.551908550012932,120.12038297431057,35.99924744685652,40.944642136608266,164.18661035443864,5082
24,26,3129,3603,13.063042722505367,120.11497636969405,35.99715662381233,19.0642700649292,376.0715774852646,5083
25,27,4710,3129,13.580634662975006,120.11004027460527,35.99544112006261,118.40815763185648,464.2633761273812,5084
26,28,3718,4710,3.4466759229839496,120.1062791557225,35.99470220835347,69.90835711925105,232.22896781806537,5085
27,29,3718,4710,9.901177857151124,120.10698571937048,35.99479101318008,134.23646249257806,167.90086244473838,5086
28,30,4710,3129,20.80310653879504,120.11122308395876,35.99584991324173,234.11967022308517,348.5518635361525,5087
29,31,3129,3603,0.7196998822703559,120.11611894018931,35.9976087060936,133.48517409600362,261.65067345419016,5088
30,32,721,3002,0.02321028480749285,120.12261486723636,35.99952152564885,5.532814306011858,188.68261144088052,5089
31,33,722,723,3.546828959437803,120.12776211523699,36.000442545356535,216.53684679174413,392.5657886445748,5090
32,34,722,723,10.354331731048838,120.13150208100674,36.0011060785499,560.9716659292167,48.13096950710236,5091
33,35,1512,1471,0.180903792125582,120.13550272596837,35.995708029649464,166.79738304717011,1423.5321160674175,5092
34,36,1512,1471,42.65427143950424,120.1426933354935,35.9965506763133,820.4340267065543,769.8954724080336,5093
35,37,1512,1471,14.822741446993446,120.14750346650206,35.99711436160768,1257.6817839321966,332.6477151823915,5094
36,38,1513,1514,14.337019841973625,120.15482058058642,35.9980142532619,315.98903338104225,174.49585434548598,5095
37,39,1516,1554,6.3404798652767465,120.16174454866156,35.99773240331969,147.76539064708044,136.5712495436855,5096
38,40,1555,1556,6.0198633484429225,120.16198404328684,35.99153635028839,296.13298621385906,35.32160736627014,5097
39,41,2806,3916,4.901553121156993,120.16171766319044,35.98700945804777,227.76389541268955,13.686675161661954,5098
40,42,2805,2806,0.4245185341689533,120.16549179991131,35.984524557748365,36.02813681267953,383.47660113501325,5099
41,43,2803,2804,5.3679115829661965,120.16890428575995,35.98319417578135,208.7144308368144,116.36433440424177,5100
42,44,1743,2802,18.93799759494676,120.16985797681772,35.978921106713585,277.2132410845475,94.92386592422434,5101
43,45,1743,2802,4.444861214254421,120.16959164268968,35.97663752801765,22.16225830263268,349.9748487061392,5102
44,46,191,192,8.994698515665268,120.16832364203428,35.97126369028695,108.29187537808373,117.81482772268184,5103
45,47,194,1764,0.28388125388416,120.17184152115952,35.96830183118879,186.78354163861192,233.4788489640917,5104
46,48,1764,121,0.2617183295260881,120.17087309366372,35.96542811813693,102.84252392612764,197.3625694832615,5105
47,49,3581,2219,2.5542066309595977,120.17156146402199,35.960602464212215,132.27410916519088,340.34685334742244,5106
48,50,1828,1755,3.736899966336728,120.17711316044641,35.961544818526626,33.89313291545209,71.91438448805245,5107
49,51,211,212,0.4692237691074285,120.18153134395365,35.96144364715999,112.55122052841736,335.736920737999,5108
50,52,212,213,0.26030561866256297,120.18180554363347,35.9574733824452,106.42617620521374,192.84252001944984,5109
51,53,213,137,7.0691851409927695,120.18201873631655,35.954412393002656,148.0651382980616,54.677018839717284,5110
52,54,138,139,17.710812893704727,120.17796048337772,35.952257736850534,144.95991178384637,234.1544548353825,5111
53,55,2775,2452,2.2033073493201094,120.17628917818149,35.95042864435794,96.57397937442512,323.10642054765594,5112
